taxon_name,int_midpoint,sub,size,taxon_name,is_extant,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,
Argyrotheca,0.01,art,1.971333333,Argyrotheca,extant,152.1,145,0.781,0.126,Tithonian,Middle Pleistocene,
Arionthia,262.5,art,52.13,Arionthia,extinct,290.1,279.3,265.1,259.9,Artinskian,Guadalupian,
Arktikina,319.2,art,33.57,Arktikina,extinct,,,,,,,
Aromasithyris,164.8,art,22.13,Aromasithyris,extinct,167.7,164.7,161.2,155.7,Bathonian,Kimmeridgian,
Artiotreta,428.95,inart,0.586,Artiotreta,extinct,443.4,436,443.4,433.4,Llandovery,,
Ascanigypa,428.95,art,22.55882353,Ascanigypa,extinct,438.5,433.4,433.4,430.5,Telychian,Sheinwoodian,
Aseptalium,400.45,art,8.572727273,Aseptalium,extinct,419.2,410.8,410.8,407.6,Lochkovian,Pragian,
Aseptella,319.2,art,6.9275,Aseptella,extinct,326.4,314.6,326.4,314.6,Serpukhovian,Moscovian,
Aseptirhynchia,400.45,art,13.67037037,Aseptirhynchia,extinct,409.1,402.5,409.1,391.9,Pragian,Eifelian,
Aseptonetes,385.2,art,22.155,Aseptonetes,extinct,407.6,387.7,407.6,387.7,Emsian,Eifelian,
Asiacranaena,400.45,art,30.35,Asiacranaena,extinct,,,,,,,
Askepasma,525,inart,6.486,Askepasma,extinct,520,516,516,513,Stage 3,Stage 4,
Asperdelia,462.85,inart,19.145,Asperdelia,extinct,466,460.9,466,460.9,Darriwilian,,
Asperlinus,262.5,art,21.84,Asperlinus,extinct,268.8,265.1,254.17,252.17,Wordian,Lopingian,
Aspidothyris,231.5,art,21.44,Aspidothyris,extinct,,,,,,,
Astegosia,262.5,art,27.32,Astegosia,extinct,298.9,295.5,265.1,259.9,Cisuralian,Guadalupian,
Astraborthis,473.85,art,16.83928571,Astraborthis,extinct,485.4,477.7,478.6,466,Early Ordovician,Middle Ordovician,
Astua,400.45,art,20.4,Astua,extinct,419.2,410.8,419.2,410.8,Lochkovian,,
Asturorthis,435.95,art,24.18666667,Asturorthis,extinct,438.5,433.4,438.5,433.4,Telychian,,
